IMAGE NAME,BRISK (Left), BRISK (Right),FAST (Left), FAST (Right),HARRIS (Left), HARRIS (Right),MIN8VAL (Left), MIN8VAL (Right),SURF (Left), SURF (Right),MSER (Left), MSER (Right)
  Adirondack,192,172,251,222,243,232,1864,1815,223,240,187,149
        ArtL,121,132,216,265,420,434,1029,1019,279,286,217,216
   Australia,786,720,1944,1911,2089,1957,4066,3975,1002,902,606,617
  AustraliaP,857,794,2013,1907,2091,1941,4062,3984,995,891,622,613
    Bicycle2,380,351,718,745,776,790,1987,1887,703,670,502,478
  Classroom2,240,219,294,255,189,167,1069,990,619,598,346,334
 Classroom2E,240,103,294,106,189,202,1069,1708,619,273,346,212
    Computer,108,139,229,258,400,470,672,753,184,243,277,306
     Crusade,425,418,848,862,800,804,1682,1641,585,560,446,456
    CrusadeP,440,441,860,876,803,792,1704,1677,583,577,463,485
      Djembe,319,355,688,678,738,737,2074,2088,813,814,642,685
     DjembeL,319,240,688,396,738,709,2074,2156,813,636,642,482
       Hoops,332,350,450,462,539,639,1417,1546,694,760,452,457
   Jadeplant,358,442,635,708,1184,1157,3154,3414,735,741,559,632
  Livingroom,496,546,880,1075,685,869,2521,2723,583,582,446,422
  Motorcycle,814,800,1459,1461,1194,1075,2736,2598,1303,1253,956,932
 MotorcycleE,814,527,1459,923,1194,728,2736,2028,1303,840,956,640
     Newkuba,401,388,579,506,571,436,2324,2205,846,799,521,501
       Piano,159,183,227,270,328,355,2455,2416,285,319,150,181
      PianoL,159,148,227,198,328,399,2455,2230,285,268,150,162
       Pipes,519,515,753,700,816,764,3793,3848,957,917,579,589
      Plants,661,648,1046,1030,950,999,1775,1849,1110,1024,626,600
    Playroom,571,559,936,896,1037,1116,2535,2378,862,914,597,598
   Playtable,395,388,624,616,675,631,2792,2445,666,651,386,365
  PlaytableP,417,381,610,600,671,640,2795,2444,683,659,379,362
     Recycle,103,95,97,104,144,156,701,738,209,196,142,143
     Shelves,230,236,360,382,262,314,1056,1092,435,434,252,254
   Staircase,21,26,27,44,166,181,486,367,157,225,42,62
       Teddy,202,185,327,362,460,453,1522,1487,302,320,207,215
     Vintage,376,310,817,543,876,601,2271,2088,547,495,603,567
