IMAGE NAME,BRISK,FAST,HARRIS,MIN8VAL,MSER,SURF
  Adirondack,2,4,1,15,0,6
        ArtL,2,1,2,17,1,7
   Australia,6,18,13,51,3,26
  AustraliaP,10,35,11,43,3,27
    Bicycle2,4,8,6,24,3,20
  Classroom2,1,2,1,9,4,36
 Classroom2E,1,1,1,9,2,17
    Computer,0,2,3,7,0,4
     Crusade,5,5,6,16,2,13
    CrusadeP,1,10,7,21,4,19
      Djembe,6,3,5,39,5,38
     DjembeL,3,2,5,29,4,33
       Hoops,7,1,1,13,1,10
   Jadeplant,5,2,10,37,2,19
  Livingroom,6,26,4,15,3,20
  Motorcycle,17,14,12,45,7,45
 MotorcycleE,5,9,4,37,6,42
     Newkuba,6,4,4,30,5,39
       Piano,2,1,0,25,4,9
      PianoL,1,1,3,26,0,6
       Pipes,7,3,5,51,6,40
      Plants,20,16,9,23,2,25
    Playroom,7,4,7,28,1,31
   Playtable,6,12,4,21,2,14
  PlaytableP,12,7,4,24,4,11
     Recycle,0,0,0,6,0,4
     Shelves,2,1,3,8,3,11
   Staircase,0,0,1,3,2,2
       Teddy,2,3,1,14,2,8
     Vintage,4,3,0,8,5,8
