IMAGE NAME,BRISK (%),FAST (%),HARRIS (%),MIN8VAL (%), MSER (%) ,SURF (%)
  Adirondack,0.42,1.69,0.42,0.82,0.00,2.59
        ArtL,0.42,0.42,0.47,1.66,0.28,2.48
   Australia,0.23,0.93,0.64,1.27,0.35,2.73
  AustraliaP,0.37,1.79,0.55,1.07,0.35,2.86
    Bicycle2,0.28,1.09,0.77,1.24,0.33,2.91
  Classroom2,0.14,0.73,0.56,0.87,0.49,5.92
 Classroom2E,0.19,0.50,0.51,0.65,0.31,3.81
    Computer,0.00,0.82,0.69,0.98,0.00,1.87
     Crusade,0.36,0.58,0.75,0.96,0.28,2.27
    CrusadeP,0.07,1.15,0.88,1.24,0.52,3.28
      Djembe,0.43,0.44,0.68,1.87,0.42,4.67
     DjembeL,0.27,0.37,0.69,1.37,0.39,4.55
       Hoops,0.60,0.22,0.17,0.88,0.10,1.38
   Jadeplant,0.39,0.30,0.85,1.13,0.29,2.57
  Livingroom,0.39,2.66,0.51,0.57,0.33,3.43
  Motorcycle,0.60,0.96,1.06,1.69,0.40,3.52
 MotorcycleE,0.22,0.76,0.42,1.55,0.42,3.92
     Newkuba,0.48,0.74,0.79,1.32,0.53,4.74
       Piano,0.38,0.40,0.00,1.03,1.30,2.98
      PianoL,0.23,0.47,0.83,1.11,0.00,2.17
       Pipes,0.41,0.41,0.63,1.33,0.48,4.27
      Plants,0.82,1.54,0.92,1.27,0.16,2.34
    Playroom,0.37,0.44,0.65,1.14,0.09,3.49
   Playtable,0.43,1.94,0.61,0.80,0.22,2.13
  PlaytableP,0.88,1.16,0.61,0.92,0.45,1.64
     Recycle,0.00,0.00,0.00,0.83,0.00,1.98
     Shelves,0.27,0.27,1.04,0.74,0.70,2.53
   Staircase,0.00,0.00,0.58,0.70,1.43,1.05
       Teddy,0.33,0.87,0.22,0.93,0.74,2.57
     Vintage,0.33,0.44,0.00,0.37,0.38,1.54
