IMAGE NAME,BRISK (Left), BRISK (Right),FAST (Left), FAST (Right),HARRIS (Left), HARRIS (Right),MIN8VAL (Left), MIN8VAL (Right),SURF (Left), SURF (Right),MSER (Left), MSER (Right)
     Cena 01,300,362,384,491,206,265,669,794,350,399,203,220
     Cena 02,242,186,331,276,456,439,1298,1295,442,397,227,195
     Cena 03,42,8,42,3,99,100,435,4060,68,25,38,6
     Cena 04,159,230,232,346,239,410,732,966,339,393,214,292
     Cena 05,177,192,107,120,177,223,1073,1196,515,523,312,326
     Cena 06,182,160,190,115,241,135,1225,1098,627,572,329,290
     Cena 07,236,231,286,205,442,418,1397,1613,785,755,359,332
     Cena 08,13,67,9,50,27,52,473,388,29,150,32,106
     Cena 09,188,225,220,313,864,747,2849,2933,499,601,350,385
     Cena 10,94,91,114,130,214,270,841,876,242,251,129,139
