IMAGE NAME,BRISK (%),FAST (%),HARRIS (%),MIN8VAL (%), SURF (%) ,MSER (%)
     Cena 01,0.30,0.91,0.00,1.37,2.94,0.95
     Cena 02,0.00,0.99,0.67,1.31,5.48,1.90
     Cena 03,0.00,0.00,0.00,0.71,0.00,0.00
     Cena 04,0.00,0.69,0.31,1.41,3.83,0.79
     Cena 05,1.63,0.88,0.00,1.06,4.62,6.58
     Cena 06,0.00,0.00,0.00,1.21,5.00,7.75
     Cena 07,0.00,0.81,0.47,1.00,4.16,2.60
     Cena 08,0.00,0.00,0.00,1.39,0.00,0.00
     Cena 09,0.00,0.38,0.87,1.66,2.73,1.63
     Cena 10,1.08,0.00,0.41,0.82,4.06,0.00
