IMAGE NAME;BRISK (matches/s);FAST (matches/s);HARRIS (matches/s);MIN8VAL (matches/s);MSER (matches/s);SURF (matches/s);
  Adirondack;2416;24520;9407;145462;1275;5750;
        ArtL;3199;138571;42100;160088;3000;28320;
   Australia;13998;461250;70259;163436;3089;30929;
  AustraliaP;14633;913500;57117;165569;3190;34703;
    Bicycle2;9166;707000;48667;172672;2880;28783;
  Classroom2;5031;458667;12623;149355;2785;31281;
 Classroom2E;3916;356333;42523;177684;2752;24818;
    Computer;3265;510500;89036;171633;3569;38538;
     Crusade;8782;722000;39808;169000;3138;27774;
    CrusadeP;8742;716000;45238;177416;3069;26509;
      Djembe;9177;687750;44009;166484;3052;36613;
     DjembeL;8086;823333;46670;172227;2905;30364;
       Hoops;7382;664000;60071;178178;2946;29803;
   Jadeplant;8575;869667;79686;171694;3190;31464;
  Livingroom;9130;446429;29166;114787;2284;16359;
  Motorcycle;13185;961000;49328;155831;2898;31247;
 MotorcycleE;11265;794600;33115;147036;1884;25429;
     Newkuba;7715;583500;38852;113534;2072;20768;
       Piano;3483;200333;45193;146336;1698;10224;
      PianoL;3296;284000;50140;164081;1742;11698;
       Pipes;10278;372250;45130;156220;2891;35591;
      Plants;13283;877000;39636;154961;3293;31615;
    Playroom;10701;789500;49750;153878;2476;26549;
   Playtable;6107;533000;34313;146549;2541;25333;
  PlaytableP;7478;547750;56447;167617;2882;33755;
     Recycle;2409;239000;53992;176500;1687;11618;
     Shelves;5458;566333;27885;170133;2402;20828;
   Staircase;1317;130000;98784;119611;957;9865;
       Teddy;4300;667500;99609;204229;2657;31320;
     Vintage;8037;834000;49387;172250;2998;27944;

        AVRG;7684.32;579123.63;49418.00;160152.17;2659.30;26423.94;
     STD_DER;3888.66;274554.89;21771.23;19476.75;665.74;9048.70;
