IMAGE NAME;BRISK;FAST;HARRIS;MIN8VAL;MSER;SURF;
  Adirondack;32;9;12;15;5;79;
        ArtL;4;6;5;2;4;25;
   Australia;15;16;8;11;6;71;
  AustraliaP;17;25;12;7;13;91;
    Bicycle2;54;23;30;24;20;126;
  Classroom2;20;20;13;11;11;130;
 Classroom2E;1;4;2;3;3;23;
    Computer;5;4;4;7;16;33;
     Crusade;48;33;23;31;18;131;
    CrusadeP;42;56;33;25;21;124;
      Djembe;92;43;21;37;33;263;
     DjembeL;1;5;3;7;5;32;
       Hoops;21;17;13;11;11;105;
   Jadeplant;3;2;5;5;7;30;
  Livingroom;52;41;35;37;29;185;
  Motorcycle;129;73;49;55;50;317;
 MotorcycleE;47;41;20;27;24;153;
     Newkuba;38;23;23;34;18;212;
       Piano;25;8;14;19;7;98;
      PianoL;1;3;1;4;2;22;
       Pipes;53;33;31;19;15;147;
      Plants;57;15;17;16;16;128;
    Playroom;59;48;31;35;20;189;
   Playtable;53;24;26;13;16;162;
  PlaytableP;48;41;29;29;11;170;
     Recycle;15;12;9;8;8;63;
     Shelves;56;31;26;36;18;174;
   Staircase;2;1;4;2;0;22;
       Teddy;15;14;14;20;8;101;
     Vintage;54;32;28;22;22;153;

        AVRG;35.30;23.43;18.03;19.07;14.57;118.63;
     STD_DER;29.52;17.98;12.04;13.33;10.51;73.67;
