IMAGE NAME;BRISK (%);FAST (%);HARRIS (%);MIN8VAL (%);MSER (%);SURF (%);
  Adirondack;3.66;1.47;0.60;0.14;2.34;23.69;
        ArtL;0.55;1.24;0.30;0.07;1.34;7.06;
   Australia;0.43;0.58;0.20;0.12;0.87;6.56;
  AustraliaP;0.49;0.91;0.38;0.07;1.76;8.19;
    Bicycle2;2.54;1.63;1.14;0.24;2.77;14.59;
  Classroom2;1.74;2.91;1.69;0.11;1.62;14.58;
 Classroom2E;0.11;0.75;0.09;0.03;0.55;3.37;
    Computer;0.69;0.78;0.32;0.27;3.86;13.17;
     Crusade;2.38;2.29;1.11;0.32;2.77;17.80;
    CrusadeP;2.08;3.91;1.39;0.25;3.27;17.01;
      Djembe;4.33;3.13;0.87;0.36;3.40;23.17;
     DjembeL;0.05;0.40;0.12;0.07;0.63;3.19;
       Hoops;1.22;1.71;0.39;0.10;1.19;10.68;
   Jadeplant;0.15;0.15;0.12;0.05;1.11;3.41;
  Livingroom;2.36;2.62;1.42;0.35;3.53;24.58;
  Motorcycle;3.38;3.04;1.63;0.54;3.23;20.92;
 MotorcycleE;1.54;2.06;0.77;0.26;1.88;12.28;
     Newkuba;2.00;1.97;0.83;0.34;2.28;21.49;
       Piano;2.89;1.33;0.43;0.19;3.11;25.23;
      PianoL;0.12;0.53;0.03;0.04;0.99;5.97;
       Pipes;2.12;2.22;1.12;0.18;1.26;12.52;
      Plants;1.78;0.86;0.80;0.16;1.35;10.38;
    Playroom;2.30;3.04;1.07;0.37;2.12;17.36;
   Playtable;2.83;2.25;0.91;0.15;2.00;19.38;
  PlaytableP;2.61;3.74;1.00;0.32;1.39;20.56;
     Recycle;2.80;3.35;0.27;0.08;5.30;19.72;
     Shelves;4.47;3.65;1.65;0.33;4.57;28.81;
   Staircase;0.61;0.38;0.06;0.02;0.00;8.58;
       Teddy;1.57;2.10;0.61;0.41;3.38;25.80;
     Vintage;2.95;2.56;1.07;0.22;2.39;20.28;

        AVRG;1.89;1.92;0.75;0.21;2.21;15.34;
     STD_DER;1.26;1.11;0.51;0.13;1.25;7.44;
