IMAGE NAME;BRISK (matches/s);FAST (matches/s);HARRIS (matches/s);MIN8VAL (matches/s);MSER (matches/s);SURF (matches/s);
  Adirondack;1067.00;8759.00;1004.00;25199.00;1365.00;3646.00;
        ArtL;2047.00;80167.00;10675.00;52513.00;2269.00;26905.00;
   Australia;9943.00;321250.00;31123.00;68144.00;2438.00;27200.00;
  AustraliaP;11362.00;784000.00;35061.00;68769.00;3104.00;31966.00;
    Bicycle2;6216.00;365750.00;14774.00;33397.00;2973.00;22508.00;
  Classroom2;3179.00;183000.00;3207.00;18061.00;2796.00;19016.00;
 Classroom2E;2328.00;133333.00;3555.00;24360.00;2827.00;13515.00;
    Computer;1923.00;243500.00;31071.00;49138.00;3601.00;30500.00;
     Crusade;6144.00;570000.00;15423.00;29937.00;2829.00;21204.00;
    CrusadeP;6221.00;578667.00;15190.00;30459.00;3121.00;21887.00;
      Djembe;6031.00;455333.00;13532.00;30159.00;2750.00;23243.00;
     DjembeL;4862.00;361333.00;10962.00;30000.00;2782.00;25421.00;
       Hoops;4902.00;304000.00;10243.00;22618.00;2822.00;14687.00;
   Jadeplant;5277.00;447667.00;20717.00;58124.00;3410.00;23429.00;
  Livingroom;6777.00;651667.00;13632.00;41619.00;2814.00;19746.00;
  Motorcycle;11885.00;730000.00;20080.00;43366.00;3143.00;32354.00;
 MotorcycleE;9373.00;794000.00;16569.00;33549.00;3039.00;29764.00;
     Newkuba;5485.00;217000.00;9777.00;39728.00;3250.00;25308.00;
       Piano;2135.00;71000.00;5135.00;34546.00;1563.00;8629.00;
      PianoL;1971.00;141667.00;7127.00;42982.00;2208.00;11060.00;
       Pipes;7416.00;484333.00;14495.00;64754.00;2934.00;30721.00;
      Plants;10457.00;692000.00;17881.00;31241.00;3420.00;33873.00;
    Playroom;8197.00;610667.00;21108.00;45491.00;3253.00;33509.00;
   Playtable;6135.00;310000.00;13327.00;51343.00;3094.00;23945.00;
  PlaytableP;5943.00;403333.00;12486.00;51363.00;2883.00;23138.00;
     Recycle;1133.00;67000.00;2632.00;12848.00;2292.00;8265.00;
     Shelves;3208.00;185500.00;4204.00;18517.00;2499.00;14729.00;
   Staircase;411.00;23667.00;3369.00;8282.00;1594.00;8304.00;
       Teddy;2685.00;344500.00;20289.00;66867.00;2779.00;22214.00;
     Vintage;5330.00;453333.00;13804.00;38920.00;3217.00;21265.00;

        AVRG;5527.19;379426.23;13923.07;39204.43;2855.14;22269.46;
     STD_DER;3352.63;247061.44;8762.56;16792.61;592.13;8675.20;
