IMAGE NAME,BRISK (%),FAST (%),HARRIS (%),MIN8VAL (%), MSER (%) ,SURF (%)
  Adirondack,15.18,29.60,29.89,20.22,11.88,41.90
        ArtL,2.29,6.24,5.15,4.79,2.48,10.97
   Australia,2.79,4.25,8.40,9.25,3.95,14.39
  AustraliaP,4.52,11.07,13.79,14.27,4.74,15.16
    Bicycle2,10.82,12.85,17.11,14.71,6.30,29.42
  Classroom2,5.48,13.84,15.17,14.86,2.35,27.77
 Classroom2E,1.74,4.00,3.07,3.10,1.55,4.71
    Computer,7.75,18.07,14.94,14.88,8.96,32.79
     Crusade,6.97,12.87,22.32,15.11,8.32,27.77
    CrusadeP,12.66,24.65,33.35,22.66,7.99,31.72
      Djembe,15.53,25.33,26.17,24.94,9.16,44.50
     DjembeL,0.97,2.03,0.97,1.23,0.49,6.49
       Hoops,4.68,9.21,12.39,15.39,3.55,19.26
   Jadeplant,2.12,4.17,4.10,7.06,3.17,7.05
  Livingroom,9.15,13.20,15.70,14.23,5.06,43.26
  Motorcycle,8.89,12.19,17.54,16.35,6.69,32.71
 MotorcycleE,5.46,8.48,8.84,11.13,4.30,18.67
     Newkuba,9.12,13.27,18.07,16.29,6.19,36.96
       Piano,13.96,22.13,24.01,17.16,6.82,40.40
      PianoL,0.68,2.35,2.20,2.26,0.82,6.87
       Pipes,6.76,9.64,14.30,14.27,2.30,21.66
      Plants,3.15,4.62,5.85,5.63,1.94,14.81
    Playroom,10.06,16.81,20.99,16.85,4.51,29.39
   Playtable,9.04,12.42,15.31,8.25,4.09,30.37
  PlaytableP,9.31,16.69,19.07,9.47,4.68,30.55
     Recycle,15.66,28.86,36.00,18.07,9.55,41.48
     Shelves,19.97,26.15,35.07,35.94,11.83,51.78
   Staircase,4.32,8.45,11.53,7.27,0.00,17.28
       Teddy,14.90,22.06,28.92,22.80,8.12,47.59
     Vintage,8.82,14.71,11.92,10.87,7.56,32.82

        AVRG,0.00,0.00,0.00,0.00,0.00,0.00,
     STD_DER,0.00,0.00,0.00,0.00,0.00,0.00,
