IMAGE NAME;BRISK (s);FAST (s);HARRIS (s);MIN8VAL (s);MSER (s);SURF (s);
  Adirondack;0.902;0.054;0.473;0.146;0.370;0.127;
        ArtL;0.469;0.006;0.080;0.039;0.320;0.021;
   Australia;0.526;0.012;0.130;0.118;0.706;0.070;
  AustraliaP;0.475;0.005;0.115;0.117;0.557;0.059;
    Bicycle2;0.458;0.004;0.106;0.116;0.619;0.061;
  Classroom2;0.448;0.003;0.111;0.114;0.579;0.064;
 Classroom2E;0.445;0.003;0.110;0.114;0.457;0.066;
    Computer;0.443;0.002;0.028;0.029;0.316;0.014;
     Crusade;0.458;0.003;0.104;0.111;0.510;0.054;
    CrusadeP;0.457;0.003;0.105;0.111;0.497;0.053;
      Djembe;0.459;0.003;0.109;0.138;0.873;0.070;
     DjembeL;0.465;0.003;0.132;0.141;0.740;0.057;
       Hoops;0.479;0.003;0.115;0.131;0.738;0.099;
   Jadeplant;0.483;0.003;0.113;0.113;0.407;0.063;
  Livingroom;0.458;0.003;0.114;0.126;0.646;0.059;
  Motorcycle;0.477;0.004;0.113;0.123;1.113;0.079;
 MotorcycleE;0.485;0.003;0.116;0.142;0.948;0.072;
     Newkuba;0.460;0.005;0.103;0.114;0.577;0.065;
       Piano;0.490;0.007;0.133;0.141;0.394;0.070;
      PianoL;0.445;0.003;0.102;0.109;0.221;0.050;
       Pipes;0.459;0.003;0.109;0.118;0.860;0.061;
      Plants;0.468;0.003;0.109;0.116;0.753;0.063;
    Playroom;0.461;0.003;0.102;0.108;0.681;0.053;
   Playtable;0.458;0.004;0.098;0.102;0.585;0.055;
  PlaytableP;0.459;0.003;0.105;0.102;0.623;0.058;
     Recycle;0.451;0.003;0.114;0.112;0.192;0.049;
     Shelves;0.462;0.004;0.137;0.116;0.345;0.059;
   Staircase;0.450;0.003;0.103;0.103;0.175;0.046;
       Teddy;0.445;0.002;0.045;0.045;0.195;0.028;
     Vintage;0.455;0.003;0.107;0.112;0.822;0.049;

        AVRG;0.478;0.005;0.118;0.111;0.561;0.060;
     STD_DER;0.082;0.009;0.071;0.028;0.240;0.021;
